TRANSACTION_ID,PORTFOLIO_ID,ASSET_ID,TRADE_DATE,TRANSACTION_TYPE,QUANTITY,PRICE,FEES,CURRENCY,CREATED_AT
9000001,20012,30022,2025-09-27,BUY,12.020015,411.795509,0.364383,USD,2025-09-27 11:43:54
9000002,20004,30003,2025-11-20,SELL,75.433939,626.74044,0.979113,USD,2025-11-20 10:57:08
9000003,20010,30002,2025-12-23,BUY,66.822398,534.307082,0.729469,USD,2025-12-23 10:39:03
9000004,20002,30006,2025-03-12,BUY,73.828065,349.266285,1.617233,USD,2025-03-12 16:13:22
9000005,20012,30021,2025-08-13,SELL,77.255169,589.665745,0.0,USD,2025-08-13 09:24:06
9000006,20009,30024,2025-05-26,BUY,61.930357,61.461497,1.651896,USD,2025-05-26 13:41:38
9000007,20010,30028,2025-06-01,SELL,30.294642,44.230277,1.848521,USD,2025-06-01 16:21:26
9000008,20003,30001,2025-09-01,BUY,45.340899,226.21274,1.556917,USD,2025-09-01 15:26:08
9000009,20010,30013,2025-07-15,BUY,41.177085,118.107918,0.84623,USD,2025-07-15 19:28:35
9000010,20013,30032,2025-12-10,BUY,0.524162,371.31257,1.810731,USD,2025-12-10 12:29:10
9000011,20010,30028,2025-09-05,SELL,1.04111,48.768743,0.055427,USD,2025-09-05 14:07:26
9000012,20009,30033,2025-11-20,BUY,0.139071,0.558062,0.640349,USD,2025-11-20 16:40:51
9000013,20001,30012,2025-11-08,BUY,3.914069,109.569208,1.042161,USD,2025-11-08 14:22:36
9000014,20001,30001,2025-05-23,BUY,20.122366,217.746672,0.994834,USD,2025-05-23 12:54:10
9000015,20008,30017,2025-09-29,SELL,32.507131,132.730878,1.358697,USD,2025-09-29 17:59:58
9000016,20006,30016,2026-01-01,SELL,57.180813,134.647292,0.522389,USD,2026-01-01 11:19:31
9000017,20007,30033,2025-05-25,BUY,0.443778,0.65964,1.143955,USD,2025-05-25 18:34:06
9000018,20012,30016,2025-12-29,SELL,79.704042,99.443399,1.083285,USD,2025-12-29 13:36:31
9000019,20011,30009,2025-09-07,BUY,71.079828,135.223858,1.432349,USD,2025-09-07 19:48:07
9000020,20004,30020,2025-09-28,BUY,1.399865,145.250445,0.499954,USD,2025-09-28 10:01:53
9000021,20003,30016,2025-07-05,BUY,15.126994,123.573857,1.940218,USD,2025-07-05 11:16:32
9000022,20012,30022,2025-02-08,BUY,71.471678,378.605518,1.238806,USD,2025-02-08 19:26:33
9000023,20005,30030,2025-04-24,BUY,0.436247,2423.487123,0.250375,USD,2025-04-24 13:05:34
9000024,20012,30024,2026-01-01,BUY,31.422721,62.904221,1.543935,USD,2026-01-01 15:32:02
9000025,20002,30025,2025-08-28,SELL,29.333096,101.720072,0.401332,USD,2025-08-28 18:16:39
9000026,20001,30009,2025-11-12,SELL,34.162688,106.422845,1.327402,USD,2025-11-12 10:24:23
9000027,20013,30007,2025-11-26,SELL,71.042755,221.991776,1.047846,USD,2025-11-26 15:21:50
9000028,20009,30022,2025-11-27,SELL,26.805448,398.175103,0.0,USD,2025-11-27 16:52:59
9000029,20012,30005,2025-04-30,BUY,43.710175,150.463979,1.954405,USD,2025-04-30 10:59:41
9000030,20014,30019,2025-06-11,BUY,20.817982,138.973641,0.696241,USD,2025-06-11 18:52:22
9000031,20009,30012,2025-05-26,BUY,44.388907,118.045839,1.661767,USD,2025-05-26 13:00:15
9000032,20013,30005,2025-10-22,SELL,13.533069,183.732577,0.584982,USD,2025-10-22 14:56:28
9000033,20014,30028,2025-03-27,BUY,28.358041,47.843347,2.479179,USD,2025-03-27 18:09:53
9000034,20005,30034,2025-07-16,BUY,42.968002,101.478089,2.643598,USD,2025-07-16 13:44:03
9000035,20008,30016,2025-09-21,SELL,64.274994,137.196875,1.524374,USD,2025-09-21 09:32:50
9000036,20011,30012,2025-12-06,SELL,22.642929,152.118457,1.413921,USD,2025-12-06 10:50:49
9000037,20003,30023,2025-12-20,SELL,27.909341,301.50811,0.980105,USD,2025-12-20 18:52:49
9000038,20013,30011,2025-08-22,SELL,60.298565,105.179841,0.607873,USD,2025-08-22 11:48:34
9000039,20004,30018,2025-04-23,BUY,60.608887,128.133898,1.913835,USD,2025-04-23 14:12:58
9000040,20003,30012,2025-09-07,SELL,54.464822,129.894838,0.912832,USD,2025-09-07 12:18:57
9000041,20005,30005,2025-04-26,BUY,75.749369,146.876828,0.760188,USD,2025-04-26 13:41:57
9000042,20007,30014,2025-08-28,BUY,56.760687,131.74388,2.172705,USD,2025-08-28 17:09:57
9000043,20012,30017,2025-09-27,SELL,32.335477,108.676769,0.0,USD,2025-09-27 16:47:44
9000044,20001,30022,2025-06-11,SELL,62.394606,385.411011,0.850587,USD,2025-06-11 14:38:26
9000045,20010,30026,2025-02-05,BUY,38.024191,72.181406,1.225903,USD,2025-02-05 09:02:12
9000046,20012,30025,2025-11-25,BUY,78.254153,98.102357,0.799557,USD,2025-11-25 13:15:53
